Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,
yFfi0WTiqzg,30,40," ""/m/09x0r""",,,,,,,,,,
yFfpA5mpNs4,70,80," ""/m/04rlf""",,,,,,,,,,
yFfzCVqKkbQ,10,20," ""/m/014zdl",/m/02_41,"/m/07qqyl4""",,,,,,,,
yFg80Kc_XPE,5,15," ""/m/07q2z82","/m/07yv9""",,,,,,,,,
yFgPkWT9CLI,30,40," ""/m/07yv9""",,,,,,,,,,
yFgZVRqiuGg,20,30," ""/m/02zsn",/m/05zppz,/m/09x0r,"/t/dd00125""",,,,,,,
yFgrgW3kQS4,30,40," ""/m/04rlf""",,,,,,,,,,
yFhk6tXTG38,10,20," ""/m/09x0r""",,,,,,,,,,
yFhmkapcMLI,10,20," ""/m/04rlf""",,,,,,,,,,
yFhsPw4uiMo,20,30," ""/m/0283d",/m/04rlf,"/m/07s72n""",,,,,,,,
yFi9VKy9ygY,90,100," ""/t/dd00129""",,,,,,,,,,
yFiDj14cEMs,40,50," ""/m/07yv9","/m/09ct_""",,,,,,,,,
yFiMtOX4Xx8,0,10," ""/m/025td0t",/m/04rlf,/m/09x0r,"/t/dd00125""",,,,,,,
yFiMxL3a0D8,110,120," ""/m/012n7d",/m/03j1ly,/m/03kmc9,"/m/04qvtq""",,,,,,,
yFiR60JhGKs,0,10," ""/m/0jbk""",,,,,,,,,,
yFiS5sYtTxA,320,330," ""/m/02fxyj""",,,,,,,,,,
yFiW9mlaqLg,10,20," ""/m/015lz1",/m/04rlf,"/t/dd00127""",,,,,,,,
yFj1sZjbjsE,50,60," ""/m/07r04","/m/07yv9""",,,,,,,,,
yFj6_J3A9o8,20,30," ""/m/04rlf","/m/07s8j8t""",,,,,,,,,
yFjJdnMAGkM,17,27," ""/m/056ks2","/m/07yv9""",,,,,,,,,
yFjOBy1Xyoo,10,20," ""/m/03fwl",/m/04s8yn,/m/09x0r,"/m/0jbk""",,,,,,,
yFjOgN0Kiew,30,40," ""/m/04rlf","/m/07rwj3x""",,,,,,,,,
yFjgZBgIuiM,30,40," ""/m/04rlf""",,,,,,,,,,
yFk-fDoE47w,30,40," ""/m/04rlf","/m/09x0r""",,,,,,,,,
yFkLemy29LQ,30,40," ""/m/04rlf","/m/07sbbz2""",,,,,,,,,
yFkUHpK73e0,60,70," ""/m/04rlf","/t/dd00125""",,,,,,,,,
yFkVvRFiQvc,30,40," ""/m/09x0r""",,,,,,,,,,
yFkv2eAScpM,20,30," ""/m/04rlf","/m/05r5c""",,,,,,,,,
yFlk-e5T-9Q,30,40," ""/m/04rlf","/m/09x0r""",,,,,,,,,
yFlrxDupnV8,30,40," ""/m/04rlf""",,,,,,,,,,
yFm42GWW0ps,30,40," ""/m/04rlf""",,,,,,,,,,
yFmQSRMnwOw,350,360," ""/m/0cmf2""",,,,,,,,,,
yFmRDQuvwBw,140,150," ""/m/07yv9","/t/dd00065""",,,,,,,,,
yFmaGDRgLwU,30,40," ""/m/09x0r""",,,,,,,,,,
yFmag9Zdtc8,30,40," ""/m/09x0r""",,,,,,,,,,
yFmhGwVP-6w,24,34," ""/m/04rlf""",,,,,,,,,,
yFmsOnXl80M,260,270," ""/m/04rlf""",,,,,,,,,,
yFmwKbaGi90,0,10," ""/m/015p6",/m/020bb7,"/t/dd00129""",,,,,,,,
yFn-2byBBPk,30,40," ""/m/026t6","/m/0l14md""",,,,,,,,,
yFn4fFy43ak,170,180," ""/m/015p6",/m/020bb7,"/m/07pggtn""",,,,,,,,
yFnOmo0n4gw,30,40," ""/m/04rlf","/m/04szw""",,,,,,,,,
yFnUyJQKjYU,70,80," ""/m/02qldy","/m/09x0r""",,,,,,,,,
yFoA8koK6TI,30,40," ""/m/015p6","/m/0h0rv""",,,,,,,,,
yFoFDw7ZudA,590,600," ""/m/0342h",/m/04rlf,/m/04szw,/m/0fx80y,"/t/dd00125""",,,,,,
yFoK05p1F1k,30,40," ""/m/07y_7","/m/0l14_3""",,,,,,,,,
yFo_BPOrcmg,180,190," ""/m/02p01q",/m/07pdjhy,"/m/083vt""",,,,,,,,
yFog7B8TySo,30,40," ""/m/09x0r""",,,,,,,,,,
yFojl2YwRXo,560,570," ""/m/015lz1",/m/04rlf,"/m/0z9c""",,,,,,,,
yFonhmC3V-Y,30,40," ""/m/09x0r""",,,,,,,,,,
yFou7Aur5Ec,40,50," ""/m/02z32qm","/m/09x0r""",,,,,,,,,
yFouUpHYcPE,40,50," ""/m/04rlf","/m/07c6l""",,,,,,,,,
yFox8oITH9k,30,40," ""/m/09x0r""",,,,,,,,,,
yFoy0SoVk9A,30,40," ""/m/09x0r""",,,,,,,,,,
yFp4dZ9OCTY,40,50," ""/m/04rlf",/m/05fw6t,"/m/09x0r""",,,,,,,,
yFpCDPqTXLc,240,250," ""/m/09x0r","/t/dd00125""",,,,,,,,,
yFpHpFCTLTc,30,40," ""/m/09x0r""",,,,,,,,,,
yFpIMu3E3F0,30,35," ""/m/04rlf""",,,,,,,,,,
yFpRZIt8dQo,30,40," ""/m/04rlf""",,,,,,,,,,
yFpouN0tD8E,30,40," ""/m/09x0r""",,,,,,,,,,
yFq-AqmhdUg,180,190," ""/m/04rlf","/m/0glt670""",,,,,,,,,
yFq-eBvdZaM,20,30," ""/m/09x0r""",,,,,,,,,,
yFq9a8EmNuY,30,40," ""/m/07yv9","/m/09x0r""",,,,,,,,,
yFqMjsA95Jw,30,40," ""/m/01sm1g",/m/04rlf,"/m/0l14md""",,,,,,,,
yFqN0dtZ1PI,30,40," ""/m/015p6",/m/09x0r,/m/0h0rv,"/t/dd00128""",,,,,,,
yFqsyXkd8zc,20,30," ""/m/04rlf","/m/07gxw""",,,,,,,,,
yFqt6YdHdUw,30,40," ""/m/09x0r""",,,,,,,,,,
yFqusYgeK_E,30,40," ""/m/01z5f",/m/05tny_,/m/0bt9lr,"/m/0jbk""",,,,,,,
yFrOcINgz7c,30,40," ""/m/04rlf""",,,,,,,,,,
yFrP6JnyaMc,0,10," ""/m/09x0r""",,,,,,,,,,
yFrTjLH72kM,80,90," ""/m/025td0t","/m/04rlf""",,,,,,,,,
yFrWZpJFOCs,30,40," ""/m/09x0r""",,,,,,,,,,
yFr_v5uAsjo,0,10," ""/m/026t6",/m/02hnl,/m/03t3fj,/m/06rvn,/m/0bm02,"/m/0l14md""",,,,,
yFs2ceKhwfo,30,40," ""/m/04rlf""",,,,,,,,,,
yFsfLozALXs,30,40," ""/m/09x0r""",,,,,,,,,,
yFt5_pQXJxI,30,40," ""/m/09x0r""",,,,,,,,,,
yFtIoD5zS_g,70,80," ""/m/03mb9","/m/04rlf""",,,,,,,,,
yFtKjpRhmNo,30,40," ""/m/04rlf""",,,,,,,,,,
yFtZhuIjxTo,10,20," ""/m/02lkt",/m/03mb9,/m/03qtwd,"/m/04rlf""",,,,,,,
yFtjzr-w0NY,10,20," ""/m/0342h",/m/04rlf,/m/04szw,"/m/0dl5d""",,,,,,,
yFty4qFxzuU,30,40," ""/m/04rlf""",,,,,,,,,,
yFuB_mWddu8,20,30," ""/m/018vs""",,,,,,,,,,
yFuI_iiqbtY,30,40," ""/m/04rlf""",,,,,,,,,,
yFuIfrMHOcI,30,40," ""/m/04rlf",/m/056ks2,"/m/09x0r""",,,,,,,,
yFuK5q9B7Zc,40,50," ""/m/015p6","/m/068hy""",,,,,,,,,
yFuQjpsGJT8,450,460," ""/m/04rlf""",,,,,,,,,,
yFupWPVdCBQ,30,40," ""/m/04rlf","/m/064t9""",,,,,,,,,
yFuw8glKgp8,10,20," ""/m/04rlf","/m/08cyft""",,,,,,,,,
yFvRSRNaPGo,30,40," ""/m/04rlf","/m/09x0r""",,,,,,,,,
yFvTsDdbA8E,330,340," ""/m/01c194","/m/04rlf""",,,,,,,,,
yFvzuzZcDcw,180,190," ""/m/09x0r","/t/dd00125""",,,,,,,,,
yFwDAmMUjng,50,60," ""/m/04rlf","/m/0bm02""",,,,,,,,,
yFwGrXw04dk,30,40," ""/m/09x0r""",,,,,,,,,,
yFwS2c9TngQ,30,40," ""/m/09x0r""",,,,,,,,,,
yFwV48I7564,30,40," ""/m/09x0r","/t/dd00129""",,,,,,,,,
yFxBeaFRtVM,20,30," ""/m/04rlf","/m/06by7""",,,,,,,,,
yFxK48oMlE4,30,40," ""/m/026z9",/m/03mb9,"/m/04rlf""",,,,,,,,
yFxhrjAFsK4,30,40," ""/m/04rlf","/m/09x0r""",,,,,,,,,
yFxol7peoXs,30,40," ""/m/04rlf","/m/0ggq0m""",,,,,,,,,
yFxtx3llO_Y,30,40," ""/m/04rlf","/m/09x0r""",,,,,,,,,
yFxxaa1Qt8U,190,200," ""/m/01bns_","/m/04rlf""",,,,,,,,,
yFy4VaVMRuw,10,20," ""/m/04szw",/m/05148p4,"/m/05r5c""",,,,,,,,
yFyEl-F_WJk,220,230," ""/m/028v0c","/m/04rlf""",,,,,,,,,
yFyhdpwWBvA,30,40," ""/m/07swgks",/m/09x0r,/m/0j2kx,"/m/0j6m2""",,,,,,,
yFz2JK1z_As,100,110," ""/m/083vt""",,,,,,,,,,
yFz53nrAg1Q,210,220," ""/m/09x0r","/t/dd00125""",,,,,,,,,
yFz89XSlneo,120,130," ""/m/01yg9g","/m/02mk9""",,,,,,,,,
yFzEnEgdP6A,19,29," ""/m/04rlf","/m/09x0r""",,,,,,,,,
yFzFtfbAIEU,160,170," ""/m/04rlf","/m/06bxc""",,,,,,,,,
yFzMZ32aKQs,30,40," ""/m/04rlf","/m/09x0r""",,,,,,,,,
yFzzmaWKOtY,0,10," ""/m/07bgp","/m/09x0r""",,,,,,,,,
yG-Cz_1Nt9g,30,40," ""/m/04rlf","/m/09x0r""",,,,,,,,,
yG-NIfcR4DQ,70,80," ""/m/015lz1",/m/0342h,/m/04rlf,"/m/0fx80y""",,,,,,,
yG-RdIvO-Cg,120,130," ""/m/09x0r""",,,,,,,,,,
yG-Rwq3nQsI,30,40," ""/m/09x0r""",,,,,,,,,,
yG-Uxq2ybt8,300,310," ""/m/09x0r","/m/0brhx""",,,,,,,,,
yG-jUxp1iyA,30,40," ""/m/04rlf","/m/09x0r""",,,,,,,,,
yG-k_5XhcdQ,230,240," ""/m/07k1x","/m/09x0r""",,,,,,,,,
yG09HCYJtJ4,30,40," ""/m/025td0t",/m/04rlf,"/t/dd00033""",,,,,,,,
yG0KMdxwkWo,30,40," ""/m/09x0r""",,,,,,,,,,
yG0WHHQYGeY,30,40," ""/m/07yv9""",,,,,,,,,,
yG0a_H7GUIk,130,140," ""/m/0lyf6""",,,,,,,,,,
yG0j5RXgbaw,30,40," ""/m/04rlf","/m/05r6t""",,,,,,,,,
yG0jwVNzebY,430,440," ""/m/09x0r""",,,,,,,,,,
yG0yKEKz7ng,300,310," ""/m/09x0r""",,,,,,,,,,
yG1-8jy32FM,170,180," ""/m/03lty",/m/04rlf,/m/06by7,"/t/dd00126""",,,,,,,
yG12MlXXfRA,190,200," ""/m/018w8""",,,,,,,,,,
yG13LiNnYP0,70,80," ""/m/01j3sz","/m/04rlf""",,,,,,,,,
yG1dc8I65Rs,30,40," ""/m/04rlf""",,,,,,,,,,
yG1e-FLyL10,10,20," ""/m/07yv9",/m/0h9mv,/m/0k4j,"/m/0ltv""",,,,,,,
yG1o8dLyji8,360,370," ""/m/04brg2",/m/09x0r,"/t/dd00125""",,,,,,,,
yG21aqCiyoQ,30,40," ""/m/04rlf""",,,,,,,,,,
yG291XqoCLE,110,120," ""/m/01j3sz","/m/09x0r""",,,,,,,,,
yG2AWXM6Ofs,30,40," ""/m/09x0r""",,,,,,,,,,
yG2HoYqWKQM,60,70," ""/m/02x984l""",,,,,,,,,,
yG2IiX01rrc,30,40," ""/m/04rlf","/m/09x0r""",,,,,,,,,
yG2OejWngFU,30,40," ""/m/07qjznl""",,,,,,,,,,
yG2Pp8zZyOM,30,40," ""/m/015p6",/m/0h0rv,"/t/dd00129""",,,,,,,,
yG2SQt2EEdA,30,40," ""/m/03qtwd",/m/04rlf,"/t/dd00128""",,,,,,,,
yG2Ts1FJjPU,30,40," ""/m/0195fx",/m/07yv9,"/m/09x0r""",,,,,,,,
yG2YZTbwTW4,60,70," ""/m/015p6",/m/09ddx,/m/09x0r,"/m/0dbvp""",,,,,,,
yG2dpGjmbcs,30,40," ""/m/09x0r""",,,,,,,,,,
yG2vvnp0yO0,140,150," ""/m/0838f""",,,,,,,,,,
yG2x0rh1XsE,60,70," ""/m/09x0r""",,,,,,,,,,
yG3-rKVGigA,30,40," ""/m/09x0r""",,,,,,,,,,
yG36Axh1fOE,370,380," ""/m/01kcd","/m/07c6l""",,,,,,,,,
yG3E0QrY4kg,30,40," ""/m/03m5k","/m/0d8_n""",,,,,,,,,
yG3mf6JGXtc,190,200," ""/m/04rlf","/m/0l14j_""",,,,,,,,,
yG3zmIZBq2s,30,40," ""/m/04rlf""",,,,,,,,,,
yG4FOu2_Ygs,30,40," ""/m/026t6",/m/02hnl,/m/04rlf,"/m/04szw""",,,,,,,
yG4k9699TtM,30,40," ""/m/01yg9g""",,,,,,,,,,
yG4knq9vK_Q,20,30," ""/m/07yv9""",,,,,,,,,,
yG4lGx3RIt4,0,10," ""/m/09x0r","/t/dd00126""",,,,,,,,,
yG4sk_K5JHw,30,40," ""/m/04rlf""",,,,,,,,,,
yG56_Tbyi5o,30,40," ""/m/09x0r""",,,,,,,,,,
yG5Owb1yHB8,80,90," ""/m/09x0r","/t/dd00125""",,,,,,,,,
yG5c54Yfi5U,30,40," ""/m/04rlf""",,,,,,,,,,
yG5fPzix5mY,70,80," ""/m/04rlf""",,,,,,,,,,
yG64Mk1477k,260,270," ""/m/015lz1",/m/04rlf,/m/064t9,"/m/06j64v""",,,,,,,
yG6BglXUw84,40,50," ""/m/09t49","/m/09x0r""",,,,,,,,,
yG6Fh7JC8kc,30,40," ""/m/07qwdck""",,,,,,,,,,
yG6M9PwXHSs,120,130," ""/t/dd00126""",,,,,,,,,,
yG6jyvZOvCs,30,40," ""/m/09x0r""",,,,,,,,,,
yG6zBrwxRVw,0,10," ""/m/02hnl",/m/04rlf,/m/04szw,"/m/0cfdd""",,,,,,,
yG721BzG0sg,30,40," ""/m/09x0r""",,,,,,,,,,
yG77ej1QLb4,5,15," ""/m/04rlf","/m/09x0r""",,,,,,,,,
yG784eXBj-Q,30,40," ""/m/09x0r""",,,,,,,,,,
yG7CJJMGcz8,30,40," ""/m/028v0c","/m/09x0r""",,,,,,,,,
yG7DAwumQ64,30,40," ""/m/04rlf""",,,,,,,,,,
yG7KnYIHHCc,70,80," ""/m/04rlf""",,,,,,,,,,
yG7NGLal4YY,30,40," ""/m/04rlf""",,,,,,,,,,
yG7QlsfF1IQ,30,40," ""/m/04rlf","/m/09x0r""",,,,,,,,,
yG8El5i9Z7U,40,50," ""/m/015p6",/m/020bb7,"/m/07pggtn""",,,,,,,,
yG8TUYZkhs4,30,40," ""/m/04rlf""",,,,,,,,,,
yG8UetT-jnU,0,10," ""/m/04rlf","/m/053hz1""",,,,,,,,,
yG8daFGCrxI,30,40," ""/m/04rlf","/m/09x0r""",,,,,,,,,
yG8kraNVUTM,30,40," ""/m/09x0r""",,,,,,,,,,
yG8tKaLG0kk,70,80," ""/m/0mkg""",,,,,,,,,,
yG8uMQzfcZ8,20,30," ""/m/04rlf",/m/05rwpb,"/m/06rqw""",,,,,,,,
yG8xyj-xHdA,290,300," ""/m/04rlf",/m/06by7,"/m/07sbbz2""",,,,,,,,
yG93yBqAnZc,210,220," ""/m/02hnl",/m/04rlf,/m/06by7,"/m/07q4ntr""",,,,,,,
yG96HHWVyzY,70,80," ""/m/015lz1","/m/04rlf""",,,,,,,,,
yG9BN3kd6wc,90,100," ""/m/04rlf","/m/05fw6t""",,,,,,,,,
yG9DxukE0ok,30,40," ""/m/04rlf",/m/06h7j,"/m/09x0r""",,,,,,,,
yG9R6PIKfs8,30,40," ""/m/04rlf","/m/09x0r""",,,,,,,,,
yG9aCZDVdmI,0,10," ""/m/04rlf",/m/07yv9,/m/09x0r,/m/0k4j,"/m/0ltv""",,,,,,
yG9c8stoWZA,30,40," ""/m/09x0r""",,,,,,,,,,
yG9ktU_3CaY,460,470," ""/m/09x0r","/t/dd00125""",,,,,,,,,
yG9ldxOxaiI,30,40," ""/m/015p6","/m/020bb7""",,,,,,,,,
yG9wt3q_jQk,100,110," ""/m/012f08",/m/07yv9,"/m/0k4j""",,,,,,,,
yG9z5vRkWTw,50,60," ""/m/09x0r","/t/dd00126""",,,,,,,,,
yGA56qSzGWU,80,90," ""/m/04rlf",/m/04szw,/m/07xzm,"/m/0fx80y""",,,,,,,
yGA9EmTYgBc,230,240," ""/m/09x0r""",,,,,,,,,,
yGAOa9Whym8,360,370," ""/m/07rrh0c","/m/09x0r""",,,,,,,,,
yGARcfVwOHA,20,30," ""/m/01h82_","/m/07pb8fc""",,,,,,,,,
yGAmX6WOe0M,30,40," ""/m/04rlf","/m/09x0r""",,,,,,,,,
yGAncDeTEwo,0,10," ""/m/03m9d0z","/t/dd00092""",,,,,,,,,
yGBWTBrmaRA,30,40," ""/m/04rlf","/m/09x0r""",,,,,,,,,
yGBfAXtLfJg,0,10," ""/m/04rlf","/m/0ln16""",,,,,,,,,
yGBuFs0V6S8,30,40," ""/m/09x0r""",,,,,,,,,,
yGC-9C1LdAI,550,560," ""/m/07yv9","/t/dd00129""",,,,,,,,,
yGCE3-9iwvw,30,40," ""/m/04rlf","/m/07sbbz2""",,,,,,,,,
yGCcZcXHo8A,30,40," ""/m/04rlf""",,,,,,,,,,
yGCklVOLgk8,30,40," ""/m/0hsrw""",,,,,,,,,,
yGCpO79vaxo,20,30," ""/m/09x0r""",,,,,,,,,,
yGD-OoQBQGw,80,90," ""/m/025rv6n",/m/07qn5dc,/m/07st89h,"/m/09b5t""",,,,,,,
yGDi9HOzP7w,30,40," ""/m/09x0r""",,,,,,,,,,
yGDnbqppUIE,310,320," ""/m/01kcd",/m/03_d0,/m/04rlf,/m/04szw,"/m/07gql""",,,,,,
